COD_CURSO;NUM_VERSAO;DESCR_ESTRUTURA;COD_DISCIPLINA;NOME_UNIDADE;NOME_DISCIPLINA;PERIODO_IDEAL;NUM_HORAS;TIPO_DISCIPLINA;SITUACAO_VERSAO;CH_TOTAL
;;;;;;;;;;
21A;2011;Obrigatorias;CE003;Curso de Ciencia da Computacao - Bacharelado;Estatistica II;4;60;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI055;Curso de Ciencia da Computacao - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS I;1;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI056;Curso de Ciencia da Computacao - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS II;2;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI057;Curso de Ciencia da Computacao - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS III;3;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI058;Curso de Ciencia da Computacao - Bacharelado;REDE DE COMPUTADORES I;4;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI059;Curso de Ciencia da Computacao - Bacharelado;INTRODUCAO A TEORIA DA COMPUTACAO;5;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI061;Curso de Ciencia da Computacao - Bacharelado;REDE DE COMPUTADORES II;5;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI062;Curso de Ciencia da Computacao - Bacharelado;TECNICAS ALTERNATIVAS DE PROGRAMACAO;4;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI064;Curso de Ciencia da Computacao - Bacharelado;SOFTWARE BASICO I;3;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI065;Curso de Ciencia da Computacao - Bacharelado;ALGORITMOS E TEORIA DOS GRAFOS;5;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI067;Curso de Ciencia da Computacao - Bacharelado;OFICINA DE COMPUTACAO;2;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI068;Curso de Ciencia da Computacao - Bacharelado;CIRCUITOS LOGICOS;1;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI162;Curso de Ciencia da Computacao - Bacharelado;Engenharia de Requisitos;5;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI163;Curso de Ciencia da Computacao - Bacharelado;Projeto de Software;6;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI164;Curso de Ciencia da Computacao - Bacharelado;Introducao a Computacao Cientifica;4;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI165;Curso de Ciencia da Computacao - Bacharelado;Analise de Algoritmos;6;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI166;Curso de Ciencia da Computacao - Bacharelado;Metodologia Cientifica;3;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI209;Curso de Ciencia da Computacao - Bacharelado;INTELIGENCIA ARTIFICIAL;6;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI210;Curso de Ciencia da Computacao - Bacharelado;PROJETOS DIGITAIS E MICROPROCESSADORES;2;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI211;Curso de Ciencia da Computacao - Bacharelado;CONSTRUCAO DE COMPILADORES;7;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI212;Curso de Ciencia da Computacao - Bacharelado;ORGANIZACAO E ARQUIT DE COMPUTADORES;3;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI215;Curso de Ciencia da Computacao - Bacharelado;SISTEMAS OPERACIONAIS;4;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI218;Curso de Ciencia da Computacao - Bacharelado;SISTEMAS DE BANCOS DE DADOS;6;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI220;Curso de Ciencia da Computacao - Bacharelado;TEORIA DE SISTEMAS;6;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI221;Curso de Ciencia da Computacao - Bacharelado;ENGENHARIA DE SOFTWARE;7;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CI237;Curso de Ciencia da Computacao - Bacharelado;MATEMATICA DISCRETA;3;30;Obrigatoria;A;60;
21A;2011;Obrigatorias;CM005;Curso de Ciencia da Computacao - Bacharelado;ALGEBRA LINEAR;2;60;Obrigatoria;A;60;
21A;2011;Obrigatorias;CM045;Curso de Ciencia da Computacao - Bacharelado;Geometria Analitica;1;60;Obrigatoria;A;60;
21A;2011;Obrigatorias;CM046;Curso de Ciencia da Computacao - Bacharelado;INTRODUCAO A ALGEBRA;1;60;Obrigatoria;A;60;
21A;2011;Obrigatorias;CM202;Curso de Ciencia da Computacao - Bacharelado;CALCULO DIFERENCIAL E INTEGRAL II;2;60;Obrigatoria;A;60;
21A;2011;Obrigatorias;SA214;Curso de Ciencia da Computacao - Bacharelado;INTRODUCAO A TEORIA GERAL DA ADMINISTRACAO;5;60;Obrigatoria;A;60;
